Date,Value
2017-08-31,1.1616
2017-07-31,1.2299
2017-06-30,1.4349
2017-05-31,1.6399
2017-04-30,1.7424
2017-03-31,1.8791
2017-02-28,1.9132
2017-01-31,1.9816
2016-12-31,1.9816
2016-11-30,1.7766
2016-10-31,1.7082
2016-09-30,1.8791
2016-08-31,1.6741
2016-07-31,1.6741
2016-06-30,1.6057
2016-05-31,1.4349
2016-04-30,1.4691
2016-03-31,1.3666
2016-02-29,1.2299
2016-01-31,1.1616
2015-12-31,1.0933
2015-11-30,1.1616
2015-10-31,1.1274
2015-09-30,0.9566
2015-08-31,1.0591
2015-07-31,1.4008
2015-06-30,1.2983
2015-05-31,1.3671
2015-04-30,1.4012
2015-03-31,1.3329
2015-02-28,1.7088
2015-01-31,1.8107
2014-12-31,1.8449
2014-11-30,0.4105
2014-10-31,0.4105
2014-09-30,0.4444
2014-08-31,0.5812
2014-07-31,0.7179
2014-06-30,0.9579
2014-05-31,1.0948
2014-04-30,1.0609
2014-03-31,1.1294
2014-02-28,1.0341
2014-01-31,1.1375
2013-12-31,1.0686
2013-11-30,1.0341
2013-10-31,1.2754
2013-09-30,1.3784
2013-08-31,1.3788
2013-07-31,1.2754
2013-06-30,1.172
2013-05-31,0.9053
2013-04-30,0.9401
2013-03-31,1.0413
2013-02-28,1.1454
2013-01-31,1.1454
2012-12-31,1.2496
2012-11-30,1.2847
2012-10-31,1.1458
2012-09-30,1.1458
2012-08-31,1.1458
2012-07-31,1.1111
2012-06-30,1.181
2012-05-31,1.3217
2012-04-30,1.2544
2012-03-31,0.8647
